,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
160,"Alone, Pt. II","Alan Walker",310455,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
161,Chithiyaan,"Karan Aujla",309333,https://open.spotify.com/track/7HRvfjNicVkQnohrpOvjjL
162,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,309285,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
163,"Love Me Like You Do - From ""Fifty Shades Of Grey""","Ellie Goulding",309269,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu
164,"Ik Tera","Maninder Buttar",306518,https://open.spotify.com/track/57DhVYA7E1CyrE4OKuyLb7
165,"Polakattum Para Para","Anirudh Ravichander",305522,https://open.spotify.com/track/2K058s9yrpoUfANaQt7Zu4
166,Cradles,"Sub Urban",305428,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
167,"Ae Dil Hai Mushkil Title Track",Pritam,304191,https://open.spotify.com/track/1UWacd8x8tPPwmrPB1MoBI
168,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,302828,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
169,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",302622,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
170,"Channa Mereya",Pritam,302540,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM
171,Vail,"Mankirt Aulakh",301930,https://open.spotify.com/track/1bqAnuqlgbQ55AByEp0SmM
172,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",301357,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
173,Saibo,Sachin-Jigar,300224,https://open.spotify.com/track/6udC4b4jOSnHb9ItnXgKLR
174,Wolves,"Selena Gomez",299219,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
175,Safari,Serena,297819,https://open.spotify.com/track/3C9kY7XZh6GCEmfazGJ2UB
176,"Kaattu Payale","G. V. Prakash",296318,https://open.spotify.com/track/3umai3byVVIwSfEZEUY7PJ
177,"O Sanam","Lucky Ali",296292,https://open.spotify.com/track/5oYRr51VatOtkFeEOursuZ
178,Snowman,Sia,295471,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
179,"Scars To Your Beautiful","Alessia Cara",293586,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
180,"Tiji Seat",Kaka,293323,https://open.spotify.com/track/13QuhDqf4yHGiXQ2gLsyy6
181,"Ek Raat",Vilen,292966,https://open.spotify.com/track/2jHicGSFIXm8dUdGz2wwzx
182,"It's You","Ali Gatie",292250,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
183,"Just A Dream","Prem Dhillon",290565,https://open.spotify.com/track/0Ri8OoQxg17NqCySClgZeO
184,Yalgaar,"Ajey Nagar (CarryMinati)",289988,https://open.spotify.com/track/0RGp4KA9wvndxqPIWoKwnD
185,Pal,Javed-Mohsin,289893,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
186,"Teri Mitti",Arko,289356,https://open.spotify.com/track/75hrPAosuDiO9F3DKwVP12
187,"Chal Bombay",DIVINE,288368,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
188,"Yaen Ennai Pirindhaai - Male","Sid Sriram",286342,https://open.spotify.com/track/2GYzXSeNa3Y0BfIfS1VJj3
189,"The Box","Roddy Ricch",285974,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
190,Samjhawan,"Jawad Ahmad",283763,https://open.spotify.com/track/0rk2X5TAhraBC5aCIXK2Rq
191,Phulkari,"Karan Randhawa",281123,https://open.spotify.com/track/1f660M0jwz7F4qlDjTSLmO
192,"Majha Block","Prem Dhillon",279473,https://open.spotify.com/track/3CPvL9ehmERejt7b5RvVAY
193,"Lo Vas A Olvidar (with ROSALÍA)","Billie Eilish",277152,https://open.spotify.com/track/0psS4i5YooJrXfDnGvWRLi
194,Gucci,"Aroob Khan",276831,https://open.spotify.com/track/7GG8loWh3JFsNtWGps6ALe
195,"Same Beef",Bohemia,276087,https://open.spotify.com/track/65c6VCikt7f5sAS1heoYQC
196,Feelings,"Sumit Goswami",274741,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
197,Bhabi,"Kamal Khaira",274689,https://open.spotify.com/track/3RRvzCenxnnrZwmZ3MiGkP
198,"Boss Bitch","Doja Cat",273381,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
199,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",272928,https://open.spotify.com/track/5ZU1GwpkNJPaGbUwXX5rpQ
200,"Watermelon Sugar","Harry Styles",271945,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
